task_mode,task_logic,task_sig,stdX_per_fold,normC_for_cbm,fold,seed,N_total,N_train,N_test,r,p_lo,p_hi,F_keep_n,bb_acc,bb_f1,Y_pos_rate_total,Y_pos_rate_train,Y_pos_rate_test,cbm1_k_known,cbm1_acc,cbm1_f1,cbm1_mse,cbm1_F_pair_raw_mean,cbm1_E_pair_raw_mean,cbm1_F_pair_raw_max,cbm1_E_pair_raw_max,cbm1_S_frob_abs,cbm1_S_frob_rel,cbm1_Cov_frob_abs,cbm1_Cov_frob_rel,cbm1_Corr_frob_abs,cbm1_Corr_frob_rel,cbm2_k_known,cbm2_acc,cbm2_f1,cbm2_mse,cbm2_F_pair_raw_mean,cbm2_E_pair_raw_mean,cbm2_F_pair_raw_max,cbm2_E_pair_raw_max,cbm2_S_frob_abs,cbm2_S_frob_rel,cbm2_Cov_frob_abs,cbm2_Cov_frob_rel,cbm2_Corr_frob_abs,cbm2_Corr_frob_rel,cbm2_F_pair12_raw_mean,cbm2_E_pair12_raw_mean,cbm2_F_pair12_raw_max,cbm2_E_pair12_raw_max,cbm2_F_pair12_nonzero_frac,cbm2_E_pair12_nonzero_frac
neu,any,0d8b78b507,1,1,0,777,10000,8999,1001,768,0.2,0.8,500,0.914085914085914,0.905908096280088,0.4608,0.460828980997889,0.460539460539461,2,0.644355644355644,0.586046511627907,0.478169769048691,0.191475078463554,0.000717603135854006,0.191475078463554,0.000717603135854006,13.3447380065918,0.987570546187592,2.39365844836031,0.947382360763627,0.0747991951410558,0.0397259215779773,3,0.742257742257742,0.713333333333333,0.55422055721283,0.00329256341016541,0.00286513268171499,0.00719382846727967,0.00464843073859811,21.1126155853272,0.987261408956408,2.3190929925993,0.869335807580238,0.122125756729006,0.0546549009210842,0.00719382846727967,0.000756132765673101,0.00719382846727967,0.000756132765673101,1,1
neu,any,0d8b78b507,1,1,1,778,10000,8999,1001,768,0.2,0.8,500,0.903096903096903,0.893523600439078,0.4608,0.460828980997889,0.460539460539461,2,0.699300699300699,0.544629349470499,0.461619436740875,0.0031331772916019,0.000742140924558044,0.0031331772916019,0.000742140924558044,16.6058807373047,0.991095438025569,2.02935318960679,0.700922594142947,0.10838908757814,0.0582462614544384,3,0.847152847152847,0.837751855779427,0.538798809051514,2.29784091061447E-05,0.00389170619503905,6.11926661804318E-05,0.00698303896933794,20.4373340606689,0.986895760521466,2.05242544428028,0.683975082623077,0.432382365656665,0.200880378089108,0,0.00153246556874365,0,0.00153246556874365,0,1
neu,any,0d8b78b507,1,1,2,779,10000,9000,1000,768,0.2,0.8,500,0.905,0.896401308615049,0.4608,0.460777777777778,0.461,2,0.777,0.752497225305217,0.534017860889435,0.00319070764817297,0.000483863259432837,0.00319070764817297,0.000483863259432837,17.2406368255615,0.989456809381058,2.14321556051942,0.768114129089577,0.17711567840167,0.097479241706169,3,0.777,0.766002098635887,0.594708204269409,0.00221253987789775,0.00288305930250014,0.00575131690129638,0.00590583169832826,21.2662715911865,0.9864514831607,2.04128689445839,0.696509691552763,0.194621135545348,0.082638952795582,0.000886302732396871,0.000435155176091939,0.000886302732396871,0.000435155176091939,1,1
neu,any,0d8b78b507,1,1,3,780,10000,9000,1000,768,0.2,0.8,500,0.915,0.907306434023991,0.4608,0.460777777777778,0.461,2,0.794,0.804924242424242,0.543257892131805,0.00358617655001581,0.00141827506013215,0.00358617655001581,0.00141827506013215,16.6629467010498,0.988792448934907,2.26746235612968,0.831194478328059,0.252423659831554,0.142560133788075,3,0.775,0.758324382384533,0.568605363368988,0.00139868664943303,0.0038294813518102,0.00246299081481993,0.00633134925737977,20.4523506164551,0.986981015457368,2.31697791754684,0.846513788213519,0.264387245463722,0.122553786302273,0.00246299081481993,0.00119414494838566,0.00246299081481993,0.00119414494838566,1,1
neu,any,0d8b78b507,1,1,4,781,10000,9000,1000,768,0.2,0.8,500,0.912,0.904139433551198,0.4608,0.460777777777778,0.461,2,0.753,0.758553274682307,0.485257416963577,0.00471504731103778,0.00166145456023514,0.00471504731103778,0.00166145456023514,17.0748500823975,0.987604716246715,2.34934406390141,0.905155722667672,0.224152369990404,0.125378799082124,3,0.798,0.766203703703704,0.541707694530487,0.00061308800165231,0.00623231443266074,0.00133522879332304,0.00917773321270943,21.0620021820068,0.989747282051383,2.40985247541848,0.914231231726227,0.397053751219544,0.190209486762122,0.00133522879332304,0.00160592887550592,0.00133522879332304,0.00160592887550592,1,1
neu,any,0d8b78b507,1,1,5,782,10000,9000,1000,768,0.2,0.8,500,0.902,0.894396551724138,0.4608,0.460777777777778,0.461,2,0.556,0.430769230769231,0.424184530973434,0.224275723099709,0.000442281801952049,0.224275723099709,0.000442281801952049,13.8898038864136,0.993973040151157,2.19934037261872,0.80877201311203,0.00546940637543164,0.0028239204732105,3,0.864,0.853131749460043,0.514467418193817,0.00501954132535805,0.00374001055024564,0.0110376048833132,0.00466826744377613,21.2459163665772,0.988680084302864,2.26955367966611,0.79819485746056,0.420543714611963,0.197501148025805,0.00170567503664643,0.00205584592185915,0.00170567503664643,0.00205584592185915,1,1
neu,any,0d8b78b507,1,1,6,783,10000,9000,1000,768,0.2,0.8,500,0.92,0.914346895074947,0.4608,0.460777777777778,0.461,2,0.842,0.823266219239374,0.486518889665604,0.00348541489802301,0.00154179846867919,0.00348541489802301,0.00154179846867919,17.0117206573486,0.987279768384886,1.94902557732665,0.648460860855913,0.214191470075079,0.119399074673767,3,0.859,0.847237269772481,0.525814831256867,0.00182498013600707,0.00365239180003603,0.00292669166810811,0.0047916010953486,20.8709926605225,0.988481577868771,2.05851859695552,0.685359259660203,0.388449013611773,0.180411341693434,0.00292669166810811,0.00249590212479234,0.00292669166810811,0.00249590212479234,1,1
neu,any,0d8b78b507,1,1,7,784,10000,9000,1000,768,0.2,0.8,500,0.914,0.905908096280088,0.4608,0.460777777777778,0.461,2,0.771,0.735260115606936,0.531581819057465,0.0084769893437624,0.00104463298339397,0.0084769893437624,0.00104463298339397,16.6951332092285,0.987279039549494,1.97573295353792,0.664745400826772,0.221619539122495,0.123854645278307,3,0.808,0.784269662921348,0.56144255399704,0.0014792043560495,0.00440022568606461,0.00270689046010375,0.00882731284946203,21.1901073455811,0.988168187811094,1.93367454263156,0.623816794615628,0.419060985452714,0.192196298737466,0.00270689046010375,0.000837795727420598,0.00270689046010375,0.000837795727420598,1,1
neu,any,0d8b78b507,1,1,8,785,10000,9001,999,768,0.2,0.8,500,0.915915915915916,0.908893709327549,0.4608,0.4608376847017,0.46046046046046,2,0.837837837837838,0.806682577565632,0.499014914035797,0.000997260329313576,0.00153037835843861,0.000997260329313576,0.00153037835843861,17.3116321563721,0.987932166123279,2.00721026760041,0.673569473577527,0.253409674474636,0.143164958816313,3,0.794794794794795,0.76409666283084,0.529600381851196,0.000273799329685668,0.00455496786162257,0.000676719180773944,0.00787533912807703,21.1992874145508,0.986950745221322,2.03038496922483,0.678669151012639,0.345643880176303,0.15602977690747,0.000676719180773944,0.00180506845936179,0.000676719180773944,0.00180506845936179,1,1
neu,any,0d8b78b507,1,1,9,786,10000,9001,999,768,0.2,0.8,500,0.908908908908909,0.902045209903122,0.4608,0.4608376847017,0.46046046046046,2,0.602602602602603,0.546285714285714,0.452405542135239,0.00384018290787935,0.000508214230649173,0.00384018290787935,0.000508214230649173,16.9248218536377,0.988964168291946,2.28339538794727,0.866850326701802,0.0161148813760647,0.00838386602735377,3,0.78978978978979,0.761904761904762,0.550241708755493,0.0191177725791931,0.00293708554818295,0.0330878123641014,0.00459113297984004,20.3609447479248,0.985311337182477,2.2801194424277,0.841840364504342,0.297849289211746,0.129849072558791,0.0330878123641014,0.000366514112101868,0.0330878123641014,0.000366514112101868,1,1
