seed,k_known,k_total,alpha,omega,n,r,sigma_x,sigma_y,p_lo,p_hi,F_keep_n,bb_acc,cbm_acc,cbm_mse,F_pair_raw_mean,E_pair_raw_mean,S_frob_abs,S_frob_rel,Cov_frob_abs,Cov_frob_rel,T1,T2,T3,T4
1,10,50,-1.0,0.0,8000,64,0.3,1.5,0.2,0.8,871,0.8745,0.757,6.255468368530273,0.027395083466803447,0.00265247811201132,14.109603881835938,0.9899157008877238,23.831429377823476,0.5455612626221994,44.49646292797655,0.0,0.0,0.0
1,10,50,0.0,0.0,8000,64,0.3,1.5,0.2,0.8,692,0.887,0.7985,2.3381831645965576,0.0018238127322951591,0.003738359294624792,16.736173629760742,0.9905684286768583,9.146362838730731,0.2653883677843559,44.49646292797655,0.0,0.0,0.0
1,10,50,1.0,0.0,8000,64,0.3,1.5,0.2,0.8,967,0.8655,0.6725,16.885921478271484,0.04397146053832128,0.002660620156934278,12.023186683654785,0.9974736446008701,52.73259292113759,0.7159252658531859,44.49646292797655,0.0,0.0,0.0
1,10,50,-1.0,0.25,8000,64,0.3,1.5,0.2,0.8,336,0.935,0.585,6.255468368530273,0.04331449559556656,0.00265247811201132,11.395832061767578,0.9978444635078146,23.831429377823476,0.5455612626221994,25.02926099618877,5.625066564887679,53.922215091764585,86.72417671597759
1,10,50,0.0,0.25,8000,64,0.3,1.5,0.2,0.8,352,0.927,0.592,2.3381831645965576,0.026704646398623785,0.003738359294624792,15.620875358581543,0.9944656705217015,9.146362838730731,0.2653883677843559,25.02926099618877,0.0,0.0,86.72417671597759
1,10,50,1.0,0.25,8000,64,0.3,1.5,0.2,0.8,200,0.9595,0.498,16.885921478271484,0.044321831544705974,0.002660620156934278,12.36328411102295,1.0023879297545921,52.73259292113759,0.7159252658531859,25.02926099618877,1.5541748286018118,374.50665616088935,86.72417671597759
1,10,50,-1.0,0.5,8000,64,0.3,1.5,0.2,0.8,200,0.958,0.5235,6.255468368530273,0.028184658429058294,0.00265247811201132,13.123779296875,1.0029024620859384,23.831429377823476,0.5455612626221994,11.124115731994138,7.50008866443561,215.68886036705834,346.89670686391037
1,10,50,0.0,0.5,8000,64,0.3,1.5,0.2,0.8,200,0.9525,0.5105,2.3381831645965576,0.01970415898540523,0.003738359294624792,13.786008834838867,0.9966850658073597,9.146362838730731,0.2653883677843559,11.124115731994138,0.0,0.0,346.89670686391037
1,10,50,1.0,0.5,8000,64,0.3,1.5,0.2,0.8,200,0.9755,0.482,16.885921478271484,0.04753561493837171,0.002660620156934278,13.350293159484863,0.9991522178623765,52.73259292113759,0.7159252658531859,11.124115731994138,2.072232904444162,1498.0266246435574,346.89670686391037
1,10,50,-1.0,0.75,8000,64,0.3,1.5,0.2,0.8,200,0.9565,0.506,6.255468368530273,0.02138300921206893,0.00265247811201132,14.868115425109863,1.000707026372177,23.831429377823476,0.5455612626221994,2.7810289329985345,5.62506610938047,485.29984009578766,780.51761942349
1,10,50,0.0,0.75,8000,64,0.3,1.5,0.2,0.8,200,0.9545,0.49,2.3381831645965576,0.01567144865791003,0.003738359294624792,14.404321670532227,0.9978421304684898,9.146362838730731,0.2653883677843559,2.7810289329985345,0.0,0.0,780.51761942349
1,10,50,1.0,0.75,8000,64,0.3,1.5,0.2,0.8,200,0.9735,0.4815,16.885921478271484,0.05129354023633318,0.002660620156934278,13.638956069946289,0.9976327859872478,52.73259292113759,0.7159252658531859,2.7810289329985345,1.5541746951536661,3370.5595045933796,780.51761942349
1,10,50,-1.0,1.0,8000,64,0.3,1.5,0.2,0.8,200,0.961,0.504,6.255468368530273,0.018011736402776375,0.00265247811201132,15.724847793579102,0.9997882027923974,23.831429377823476,0.5455612626221994,0.0,0.0,862.7554414682334,1387.5868274556415
1,10,50,0.0,1.0,8000,64,0.3,1.5,0.2,0.8,200,0.9575,0.486,2.3381831645965576,0.016237451102804498,0.003738359294624792,15.338079452514648,0.9976461886442748,9.146362838730731,0.2653883677843559,0.0,0.0,0.0,1387.5868274556415
1,10,50,1.0,1.0,8000,64,0.3,1.5,0.2,0.8,200,0.9665,0.475,16.885921478271484,0.04263836218451615,0.002660620156934278,13.952896118164062,0.9973637539619328,52.73259292113759,0.7159252658531859,0.0,0.0,5992.10649857423,1387.5868274556415
1,20,50,-1.0,0.0,8000,64,0.3,1.5,0.2,0.8,421,0.9245,0.834,7.696331024169922,0.027387508417259118,0.0047996219259833816,22.852890014648438,0.9902052989699086,49.37836688485744,0.3854027664514636,255.87745521408613,0.0,0.0,0.0
1,20,50,0.0,0.0,8000,64,0.3,1.5,0.2,0.8,210,0.935,0.9035,1.6201655864715576,0.006313191677786802,0.007277336790177383,25.708662033081055,0.9883273375571023,16.003903142569186,0.14467726054801197,255.87745521408613,0.0,0.0,0.0
1,20,50,1.0,0.0,8000,64,0.3,1.5,0.2,0.8,511,0.925,0.8305,5.845035076141357,0.04222741367055661,0.005155720639863591,21.347291946411133,0.9914884637589082,40.3431603234053,0.3299071032763538,255.87745521408613,0.0,0.0,0.0
1,20,50,-1.0,0.25,8000,64,0.3,1.5,0.2,0.8,328,0.931,0.717,7.696331024169922,0.014682649374375805,0.0047996219259833816,22.079242706298828,0.9893276135894012,49.37836688485744,0.3854027664514636,143.93106359281876,-2.592766931275003,79.62827698789222,42.6409290575029
1,20,50,0.0,0.25,8000,64,0.3,1.5,0.2,0.8,238,0.9265,0.822,1.6201655864715576,0.007788108164705769,0.007277336790177383,24.275590896606445,0.9869288582181035,16.003903142569186,0.14467726054801197,143.93106359281876,0.0,0.0,42.6409290575029
1,20,50,1.0,0.25,8000,64,0.3,1.5,0.2,0.8,427,0.923,0.718,5.845035076141357,0.028682063780663732,0.005155720639863591,21.430187225341797,0.9915119211244029,40.3431603234053,0.3299071032763538,143.93106359281876,-2.6960592857820336,69.92854197403253,42.6409290575029
